20 54
0 2 13
2 0 13
0 3 15
3 0 15
0 4 21
4 0 21
0 7 26
7 0 26
0 8 39
8 0 39
0 17 41
17 0 41
0 19 4
19 0 4
1 2 54
2 1 54
1 4 37
4 1 37
1 5 5
5 1 5
1 9 25
9 1 25
1 12 7
12 1 7
1 13 23
13 1 23
2 5 52
5 2 52
2 8 6
8 2 6
2 9 19
9 2 19
2 12 22
12 2 22
2 18 44
18 2 44
3 4 20
4 3 20
3 5 11
5 3 11
3 9 46
9 3 46
3 10 38
10 3 38
3 17 36
17 3 36
4 12 9
12 4 9
4 14 18
14 4 18
4 19 50
19 4 50
5 7 42
7 5 42
5 14 1
14 5 1
5 17 53
17 5 53
5 19 47
19 5 47
6 8 30
8 6 30
6 15 29
15 6 29
6 16 45
16 6 45
6 18 12
18 6 12
6 19 40
19 6 40
7 11 49
11 7 49
7 12 24
12 7 24
7 13 17
13 7 17
7 14 8
14 7 8
7 15 10
15 7 10
7 18 14
18 7 14
7 19 16
19 7 16
8 16 3
16 8 3
8 18 2
18 8 2
9 18 28
18 9 28
10 13 48
13 10 48
10 16 32
16 10 32
11 14 31
14 11 31
12 18 35
18 12 35
13 15 51
15 13 51
14 18 33
18 14 33
15 16 27
16 15 27
17 18 43
18 17 43
17 19 34
19 17 34
